order_id,customer_id,product_name,category,quantity,unit_price,discount,city,payment_method,order_date
ORD100000,CUST00860,Monitor,Mobile,3,3552.06,0.3,Mumbai,,2024-03-21
ORD100001,CUST01294,Mouse,,8,3475.5,0.16,Delhi,UPI,2024-04-30
ORD100002,CUST01130,Headphones,Electronics,1,1289.02,0.17,Pune,COD,2025-03-07
ORD100003,CUST01095,Tablet,Computers,0,2553.38,0.2,Mumbai,UPI,2024-08-19
ORD100004,CUST01638,Monitor,Computers,1,932.02,0.41,Bengaluru,Card,2024-04-30
ORD100005,CUST02169,Monitor,,0,6541.23,0.11,Nashik,COD,2024-09-25
ORD100006,CUST00466,Laptop,Computers,10,812.95,0.43,Delhi,UPI,2024-07-30
ORD100007,CUST01238,Headphones,Accessories,12,1209.11,0.16,Mumbai,,2024-07-03
ORD100008,CUST00330,Laptop,Electronics,9,4905.45,0.44,Mumbai,COD,2024-08-15
ORD100009,CUST01482,Laptop,Electronics,12,2342.86,0.45,,UPI,2024-09-17
ORD100010,CUST02135,,Mobile,8,3405.93,0.35,Hyderabad,COD,2024-10-09
ORD100011,CUST00130,Tablet,Accessories,8,2377.7,0.45,Bengaluru,,2025-04-15
ORD100012,CUST01685,Keyboard,,10,1465.97,0.37,,UPI,2024-09-23
ORD100013,CUST00769,Laptop,,9,1467.31,0.07,Hyderabad,,2024-02-04
ORD100014,CUST02391,Mouse,Electronics,3,3793.91,0.48,Hyderabad,,2025-04-10
ORD100015,CUST01515,Monitor,Accessories,0,2841.06,0.1,Hyderabad,Card,2024-12-29
ORD100016,CUST02433,Tablet,Accessories,13,4304.52,0.25,Pune,Card,2024-11-04
ORD100017,CUST01215,Laptop,Electronics,6,4285.6,0.19,Bengaluru,COD,2025-03-26
ORD100018,CUST00955,Phone,Mobile,11,3365.48,0.17,Mumbai,UPI,2024-10-13
ORD100019,CUST02324,Mouse,Accessories,0,,0.39,Nashik,,2024-12-28
ORD100020,CUST01184,Headphones,Computers,0,3305.65,0.15,Mumbai,Card,2025-02-02
ORD100021,CUST00459,Monitor,Accessories,4,3070.69,0.27,Mumbai,COD,2024-08-14
ORD100022,CUST00021,Tablet,,0,2014.09,0.17,Mumbai,Card,2024-08-18
ORD100023,CUST02300,Phone,Electronics,-2,-38.22,0.45,Hyderabad,,2024-09-18
ORD100024,CUST00747,Tablet,,9,1548.15,0.08,Bengaluru,,2024-08-08
ORD100025,CUST00474,Tablet,Mobile,3,4670.8,0.09,,Card,2024-12-12
ORD100026,CUST01082,Phone,,4,2932.51,0.06,Bengaluru,,2025-04-20
ORD100027,CUST02047,Headphones,Computers,-1,1897.06,0.38,Delhi,,2025-01-21
ORD100028,CUST00975,Phone,Electronics,12,4302.55,0.08,Delhi,,2024-05-30
ORD100029,CUST01806,Mouse,Accessories,12,1828.33,0.27,Hyderabad,NetBanking,2024-12-11
ORD100030,CUST00189,,Computers,7,3561.65,0.38,,,2024-01-27
ORD100031,CUST00562,Tablet,Accessories,14,4494.6,0.06,Hyderabad,,2024-05-01
ORD100032,CUST01899,Headphones,Mobile,12,3410.98,0.47,Delhi,UPI,2024-05-13
ORD100033,CUST01267,Tablet,,3,4092.65,0.14,Mumbai,,2024-06-09
ORD100034,CUST01528,Phone,Electronics,6,3208.93,0.4,Delhi,COD,2024-11-29
ORD100035,CUST00646,Headphones,Mobile,8,-357.14,0.4,,UPI,2025-01-06
ORD100036,CUST02068,Headphones,Mobile,12,4466.22,0.17,Delhi,Card,2024-01-03
ORD100037,CUST02214,Laptop,,0,3703.57,0.28,Pune,,2025-02-06
ORD100038,CUST01297,Laptop,Mobile,-2,2043.5,0.32,Hyderabad,UPI,2024-04-13
ORD100039,CUST02435,,Mobile,14,1618.71,0.21,Hyderabad,Card,2025-02-06
ORD100040,CUST00600,Laptop,Accessories,8,,0.18,Bengaluru,,2025-02-14
ORD100041,CUST02363,Phone,,8,701.08,0.43,Delhi,,2025-03-09
ORD100042,CUST02061,Monitor,Accessories,4,3914.33,0.1,Bengaluru,UPI,2025-02-24
ORD100043,CUST00241,Mouse,,-2,2273.46,0.4,Nashik,,2025-03-17
ORD100044,CUST02041,Phone,Computers,9,1151.23,0.1,Hyderabad,COD,2025-05-13
ORD100045,CUST01363,Tablet,,1,3496.73,0.35,Pune,,2025-03-01
ORD100046,CUST02139,Laptop,,5,3212.13,0.14,Nashik,Card,2024-10-30
ORD100047,CUST01390,Headphones,,12,3725.28,0.46,Hyderabad,Card,2024-11-02
ORD100048,CUST01478,Phone,,8,573.27,0.3,Bengaluru,COD,2024-04-13
ORD100049,CUST00775,Headphones,Mobile,5,,0.27,Bengaluru,COD,2024-12-26
ORD100050,CUST00034,,,9,5179.81,0.15,Nashik,COD,2025-03-25
ORD100051,CUST02253,Tablet,Computers,0,2435.72,0.25,Delhi,UPI,2025-03-04
ORD100052,CUST01955,Headphones,,1,2340.47,0.03,Pune,COD,2024-09-26
ORD100053,CUST01585,Headphones,Accessories,9,414.54,0.07,Bengaluru,,2024-06-25
ORD100054,CUST01021,,Mobile,5,2623.11,0.15,Mumbai,,2024-02-25
ORD100055,CUST01129,Keyboard,Accessories,7,965.14,0.47,Pune,NetBanking,2025-02-15
ORD100056,CUST01500,Monitor,Mobile,-2,4251.36,0.23,Nashik,,2024-11-09
ORD100057,CUST00702,Mouse,Accessories,10,6139.62,0.2,Bengaluru,UPI,2024-05-17
ORD100058,CUST02449,Mouse,Electronics,4,6177.63,0.39,Bengaluru,COD,2024-09-11
ORD100059,CUST01579,Laptop,,0,1215.92,0.35,Hyderabad,COD,2024-06-14
ORD100060,CUST00161,Keyboard,,13,1393.47,0.33,Nashik,NetBanking,2024-06-04
ORD100061,CUST00201,Phone,Mobile,9,3407.74,0.3,Mumbai,,2024-01-13
ORD100062,CUST01981,,Electronics,2,2155.06,0.06,Hyderabad,COD,2025-04-20
ORD100063,CUST00995,Phone,Computers,5,2521.03,0.2,Mumbai,Card,2024-08-24
ORD100064,CUST02317,Mouse,Electronics,9,6181.51,0.45,Bengaluru,COD,2024-09-11
ORD100065,CUST00815,Monitor,Mobile,0,874.33,0.48,Delhi,UPI,2025-02-04
ORD100066,CUST00455,Headphones,Electronics,13,2900.0,0.22,Mumbai,UPI,2025-01-17
ORD100067,CUST01275,Tablet,Computers,7,3071.1,0.0,Mumbai,COD,2024-07-15
ORD100068,CUST01016,Laptop,Mobile,14,4075.09,0.25,,UPI,2024-06-23
ORD100069,CUST02343,Monitor,,7,1206.06,0.11,Delhi,,2025-03-28
ORD100070,CUST00337,Mouse,,0,4725.1,0.09,,Card,2024-10-01
ORD100071,CUST00878,Keyboard,Electronics,-1,2893.65,0.14,Hyderabad,,2024-08-13
ORD100072,CUST01076,Laptop,,11,1256.84,0.06,Mumbai,COD,2024-08-20
ORD100073,CUST00791,,,6,2229.04,0.02,Delhi,Card,2024-04-16
ORD100074,CUST02264,Mouse,Accessories,14,4003.79,0.22,,NetBanking,2025-02-26
ORD100075,CUST00763,Phone,Computers,1,5623.93,0.13,Nashik,,2025-01-17
ORD100076,CUST02235,Laptop,,12,1972.93,0.13,Hyderabad,NetBanking,2024-07-10
ORD100077,CUST00379,,Electronics,10,5674.1,0.11,Pune,COD,2024-12-16
ORD100078,CUST00492,Mouse,,6,4363.52,0.25,Pune,,2025-02-12
ORD100079,CUST01180,Phone,,1,1734.03,0.37,Nashik,COD,2024-11-02
ORD100080,CUST02062,Tablet,Computers,5,3403.65,0.33,Mumbai,,2024-07-11
ORD100081,CUST00064,Phone,,12,3808.11,0.49,Pune,,2024-04-23
ORD100082,CUST01367,Headphones,,11,2140.46,0.46,Nashik,,2024-08-01
ORD100083,CUST01152,,,0,1533.43,0.21,Pune,,2025-02-25
ORD100084,CUST02027,,,14,2299.61,0.41,Mumbai,COD,2024-08-27
ORD100085,CUST01495,Keyboard,,5,1918.98,0.09,Hyderabad,,2024-04-02
ORD100086,CUST01162,,,11,2914.05,0.11,Delhi,Card,2025-03-25
ORD100087,CUST01522,Headphones,Accessories,10,5773.95,0.35,,UPI,2024-04-14
ORD100088,CUST00391,Mouse,Accessories,12,3188.03,0.11,Nashik,COD,2024-12-27
ORD100089,CUST01698,Tablet,,8,5213.22,0.23,Hyderabad,NetBanking,2024-08-09
