citric acid,alcohol,volatile acidity,avg_volatile_acidity,Avg_FixedAcidity,Avg_Sulphates,quality
0.26,10.1,0.7,0.53337,8.1888,0.61958,5
0.07,9.3,0.88,0.53337,8.1888,0.61958,5
0.26,10.2,0.76,0.53337,8.1888,0.61958,5
0.0,9.2,0.28,0.53337,8.1888,0.61958,5
0.0,10.8,0.7,0.53337,8.1888,0.61958,5
0.05,12.9,0.66,0.53337,8.1888,0.61958,5
0.4,9.7,0.6,0.53337,8.1888,0.61958,5
0.06,11.95,0.65,0.53337,8.1888,0.61958,5
0.05,10.6,0.58,0.53337,8.1888,0.61958,5
0.55,10.6,0.5,0.53337,8.1888,0.61958,5
0.22,9.6,0.58,0.53337,8.1888,0.61958,5
0.01,9.7,0.5,0.53337,8.1888,0.61958,5
0.14,9.5,0.615,0.53337,8.1888,0.61958,5
0.34,9.5,0.61,0.53337,8.1888,0.61958,5
0.0,9.8,0.62,0.53337,8.1888,0.61958,5
0.32,9.5,0.62,0.53337,8.1888,0.61958,5
0.38,8.5,0.28,0.53337,8.1888,0.61958,5
0.11,9.6,0.56,0.53337,8.1888,0.61958,5
0.5,10.2,0.59,0.53337,8.1888,0.61958,5
0.35,9.4,0.32,0.53337,8.1888,0.61958,5
0.0,9.4,0.22,0.53337,8.1888,0.61958,5
0.48,11.0,0.39,0.53337,8.1888,0.61958,5
0.49,9.8,0.43,0.53337,8.1888,0.61958,5
0.31,9.3,0.49,0.53337,8.1888,0.61958,5
0.12,10.0,0.4,0.53337,8.1888,0.61958,5
0.48,9.2,0.39,0.53337,8.1888,0.61958,5
0.55,9.4,0.41,0.53337,8.1888,0.61958,5
0.49,10.9,0.43,0.53337,8.1888,0.61958,5
0.1,10.2,0.71,0.53337,8.1888,0.61958,5
0.35,9.2,0.645,0.53337,8.1888,0.61958,5
0.44,9.5,0.675,0.53337,8.1888,0.61958,5
0.25,9.6,0.685,0.53337,8.1888,0.61958,5
0.19,11.0,0.655,0.53337,8.1888,0.61958,5
0.43,9.2,0.605,0.53337,8.1888,0.61958,5
0.48,10.5,0.32,0.53337,8.1888,0.61958,5
0.02,9.5,0.645,0.53337,8.1888,0.61958,5
0.25,9.8,0.6,0.53337,8.1888,0.61958,5
0.26,9.8,0.38,0.53337,8.1888,0.61958,5
0.74,11.2,1.13,0.53337,8.1888,0.61958,5
0.0,10.8,0.45,0.53337,8.1888,0.61958,5
0.26,9.6,0.45,0.53337,8.1888,0.61958,5
0.0,9.4,0.61,0.53337,8.1888,0.61958,5
0.07,9.5,0.49,0.53337,8.1888,0.61958,5
0.39,9.6,0.66,0.53337,8.1888,0.61958,5
0.28,9.4,0.67,0.53337,8.1888,0.61958,5
0.17,10.4,0.52,0.53337,8.1888,0.61958,5
0.24,9.9,0.935,0.53337,8.1888,0.61958,5
0.42,10.5,0.29,0.53337,8.1888,0.61958,5
0.34,10.1,0.4,0.53337,8.1888,0.61958,5
0.26,9.4,0.31,0.53337,8.1888,0.61958,5
0.59,9.2,0.66,0.53337,8.1888,0.61958,5
0.54,9.2,0.52,0.53337,8.1888,0.61958,5
0.23,9.7,0.5,0.53337,8.1888,0.61958,5
0.26,9.4,0.38,0.53337,8.1888,0.61958,5
0.25,11.2,0.51,0.53337,8.1888,0.61958,5
0.3,10.2,0.62,0.53337,8.1888,0.61958,5
0.2,9.3,0.42,0.53337,8.1888,0.61958,5
0.19,10.5,0.63,0.53337,8.1888,0.61958,5
0.26,9.4,0.59,0.53337,8.1888,0.61958,5
0.49,9.3,0.39,0.53337,8.1888,0.61958,5
0.28,9.4,0.4,0.53337,8.1888,0.61958,5
0.49,9.2,0.69,0.53337,8.1888,0.61958,5
0.17,11.4,0.52,0.53337,8.1888,0.61958,5
0.23,10.1,0.735,0.53337,8.1888,0.61958,5
0.1,9.8,0.725,0.53337,8.1888,0.61958,5
0.54,9.6,0.725,0.53337,8.1888,0.61958,5
0.49,11.1,0.52,0.53337,8.1888,0.61958,5
0.26,9.9,0.705,0.53337,8.1888,0.61958,5
0.18,9.1,0.32,0.53337,8.1888,0.61958,5
0.09,12.0,0.705,0.53337,8.1888,0.61958,5
0.31,10.9,0.63,0.53337,8.1888,0.61958,5
0.45,9.4,0.67,0.53337,8.1888,0.61958,5
0.59,9.4,0.69,0.53337,8.1888,0.61958,5
0.44,10.7,0.675,0.53337,8.1888,0.61958,5
0.61,9.1,0.32,0.53337,8.1888,0.61958,5
0.5,11.5,0.41,0.53337,8.1888,0.61958,5
0.68,9.3,0.41,0.53337,8.1888,0.61958,5
0.1,9.3,0.785,0.53337,8.1888,0.61958,5
0.25,9.2,0.75,0.53337,8.1888,0.61958,5
0.0,9.5,0.625,0.53337,8.1888,0.61958,5
0.39,10.0,0.45,0.53337,8.1888,0.61958,5
0.21,10.3,0.43,0.53337,8.1888,0.61958,5
0.11,9.9,0.5,0.53337,8.1888,0.61958,5
0.01,10.8,0.67,0.53337,8.1888,0.61958,5
0.49,10.4,0.3,0.53337,8.1888,0.61958,5
0.26,9.4,0.55,0.53337,8.1888,0.61958,5
0.08,10.2,0.49,0.53337,8.1888,0.61958,5
0.07,10.7,0.49,0.53337,8.1888,0.61958,5
0.18,9.2,0.39,0.53337,8.1888,0.61958,5
0.09,11.3,0.62,0.53337,8.1888,0.61958,5
0.32,9.4,0.52,0.53337,8.1888,0.61958,5
0.23,10.1,0.49,0.53337,8.1888,0.61958,5
0.79,13.0,0.49,0.53337,8.1888,0.61958,5
0.24,9.5,0.49,0.53337,8.1888,0.61958,5
0.49,9.3,1.02,0.53337,8.1888,0.61958,5
0.1,9.2,0.6,0.53337,8.1888,0.61958,5
0.0,10.8,0.775,0.53337,8.1888,0.61958,5
0.11,9.5,0.5,0.53337,8.1888,0.61958,5
0.0,9.8,0.9,0.53337,8.1888,0.61958,5
0.03,9.6,0.545,0.53337,8.1888,0.61958,5
0.49,9.5,0.61,0.53337,8.1888,0.61958,5
0.31,9.7,0.5,0.53337,8.1888,0.61958,5
0.13,10.1,0.545,0.53337,8.1888,0.61958,5
0.55,9.4,0.575,0.53337,8.1888,0.61958,5
0.14,10.5,0.49,0.53337,8.1888,0.61958,5
0.36,10.9,0.575,0.53337,8.1888,0.61958,5
0.19,10.9,0.41,0.53337,8.1888,0.61958,5
0.16,9.7,0.63,0.53337,8.1888,0.61958,5
0.06,9.6,0.33,0.53337,8.1888,0.61958,5
0.15,9.5,0.785,0.53337,8.1888,0.61958,5
0.14,9.2,0.56,0.53337,8.1888,0.61958,5
0.0,9.7,0.62,0.53337,8.1888,0.61958,5
0.31,10.3,0.6,0.53337,8.1888,0.61958,5
0.26,9.2,0.31,0.53337,8.1888,0.61958,5
0.52,9.5,0.56,0.53337,8.1888,0.61958,5
0.37,9.3,0.4,0.53337,8.1888,0.61958,5
0.25,10.1,0.54,0.53337,8.1888,0.61958,5
0.24,9.5,0.56,0.53337,8.1888,0.61958,5
0.12,9.5,0.55,0.53337,8.1888,0.61958,5
0.0,9.4,0.69,0.53337,8.1888,0.61958,5
0.01,9.8,1.07,0.53337,8.1888,0.61958,5
0.08,11.0,0.55,0.53337,8.1888,0.61958,5
0.02,9.8,0.695,0.53337,8.1888,0.61958,5
0.2,9.5,0.71,0.53337,8.1888,0.61958,5
0.7,9.4,0.5,0.53337,8.1888,0.61958,5
0.65,10.6,0.62,0.53337,8.1888,0.61958,5
0.24,9.8,1.33,0.53337,8.1888,0.61958,5
0.08,10.0,1.33,0.53337,8.1888,0.61958,5
0.02,9.7,0.59,0.53337,8.1888,0.61958,5
0.63,10.2,0.38,0.53337,8.1888,0.61958,5
0.33,9.5,0.745,0.53337,8.1888,0.61958,5
0.29,10.3,0.5,0.53337,8.1888,0.61958,5
0.06,9.6,0.5,0.53337,8.1888,0.61958,5
0.04,9.4,0.5,0.53337,8.1888,0.61958,5
0.29,11.2,1.04,0.53337,8.1888,0.61958,5
0.52,9.4,0.745,0.53337,8.1888,0.61958,5
0.04,9.5,0.715,0.53337,8.1888,0.61958,5
0.33,9.5,0.415,0.53337,8.1888,0.61958,5
