,survived,pclass,sex,age,fare,embarked,deck,embark_town,alive,alone
0,1,3,female,23.0,7.55,S,C,Southampton,yes,True
1,0,3,male,51.0,7.75,S,C,Southampton,no,True
2,1,3,male,26.0,18.7875,C,C,Cherbourg,yes,True
3,1,3,female,27.0,7.925,S,C,Southampton,yes,True
4,0,3,male,27.0,14.4542,C,C,Cherbourg,no,False
5,0,3,male,40.0,7.225,C,C,Cherbourg,no,True
6,0,3,male,17.0,7.125,S,C,Southampton,no,True
7,0,3,female,18.0,6.75,Q,C,Queenstown,no,True
8,0,3,male,18.0,7.7958,S,C,Southampton,no,True
9,0,3,male,32.0,7.925,S,C,Southampton,no,True
10,0,3,male,21.0,7.8,S,C,Southampton,no,True
11,0,3,male,20.0,4.0125,C,C,Cherbourg,no,True
12,0,3,male,20.0,7.05,S,C,Southampton,no,True
13,0,3,female,25.0,7.925,S,C,Southampton,no,False
14,0,3,male,28.0,7.75,Q,F,Queenstown,no,True
15,0,3,male,38.0,7.05,S,C,Southampton,no,True
16,0,3,female,22.0,9.8375,S,C,Southampton,no,True
17,1,3,female,28.0,7.8792,Q,C,Queenstown,yes,True
18,0,3,male,20.0,7.925,S,C,Southampton,no,True
19,0,3,male,28.0,7.8958,S,C,Southampton,no,True
20,1,3,female,28.0,7.75,Q,C,Queenstown,yes,True
21,0,3,male,29.0,8.05,S,C,Southampton,no,True
22,0,3,female,45.0,27.9,S,C,Southampton,no,False
23,1,3,female,23.0,7.55,S,C,Southampton,yes,True
24,1,3,female,22.0,7.25,S,C,Southampton,yes,True
25,1,3,female,38.0,31.3875,S,C,Southampton,yes,False
26,0,3,male,26.0,7.775,S,C,Southampton,no,True
27,0,3,male,34.0,6.4958,S,C,Southampton,no,True
28,1,3,female,28.0,7.8792,Q,C,Queenstown,yes,True
29,0,3,male,36.0,24.15,S,C,Southampton,no,False
30,0,3,male,28.0,6.8583,Q,C,Queenstown,no,True
31,0,3,male,23.0,9.225,S,C,Southampton,no,True
32,0,3,female,11.0,31.275,S,C,Southampton,no,False
33,1,3,female,28.0,15.5,Q,C,Queenstown,yes,False
34,0,3,female,29.0,21.075,S,C,Southampton,no,False
35,0,3,male,42.0,7.65,S,F,Southampton,no,True
36,0,3,female,28.0,25.4667,S,C,Southampton,no,False
37,1,3,female,24.0,16.7,S,G,Southampton,yes,False
38,0,3,male,28.5,7.2292,C,C,Cherbourg,no,True
39,0,3,male,28.0,7.8958,S,C,Southampton,no,True
40,0,3,male,16.0,20.25,S,C,Southampton,no,False
41,0,3,male,36.0,24.15,S,C,Southampton,no,False
42,0,3,male,25.0,7.7417,Q,C,Queenstown,no,True
43,0,3,male,32.0,7.925,S,C,Southampton,no,True
44,0,3,female,25.0,7.925,S,C,Southampton,no,False
45,0,3,male,21.0,8.4333,S,C,Southampton,no,True
46,0,3,male,17.0,7.2292,C,C,Cherbourg,no,False
