tenure,Services,gender_Male,MultipleLines_No,MultipleLines_No phone service,OnlineSecurity_No,OnlineSecurity_No internet service
68,NoPhone_DSL,0.0,0.0,1.0,0.0,0.0
18,Phone_DSL,1.0,0.0,1.0,1.0,0.0
72,Phone_DSL,1.0,0.0,1.0,0.0,0.0
44,NoPhone_DSL,0.0,0.0,1.0,1.0,0.0
32,Phone_Fiber,1.0,0.0,1.0,1.0,0.0
2,Phone_Fiber,1.0,0.0,1.0,1.0,0.0
32,Phone_Fiber,1.0,0.0,1.0,1.0,0.0
52,NoPhone_DSL,0.0,0.0,1.0,0.0,0.0
39,Phone_Fiber,1.0,0.0,1.0,1.0,0.0
49,Phone_DSL,1.0,0.0,1.0,1.0,0.0
13,Phone_DSL,0.0,0.0,1.0,1.0,0.0
58,PhoneOnly,1.0,0.0,1.0,0.0,0.0
11,Phone_Fiber,0.0,0.0,1.0,1.0,0.0
46,Phone_Fiber,1.0,0.0,1.0,0.0,0.0
6,Phone_Fiber,0.0,0.0,1.0,1.0,0.0
52,Phone_Fiber,0.0,0.0,1.0,1.0,0.0
60,PhoneOnly,0.0,0.0,1.0,1.0,0.0
54,Phone_Fiber,1.0,0.0,1.0,1.0,0.0
67,Phone_DSL,1.0,0.0,1.0,0.0,0.0
72,Phone_Fiber,1.0,0.0,1.0,0.0,0.0
1,NoPhone_DSL,1.0,0.0,1.0,1.0,0.0
12,PhoneOnly,0.0,0.0,1.0,1.0,0.0
1,PhoneOnly,1.0,0.0,1.0,1.0,0.0
1,Phone_DSL,1.0,0.0,1.0,1.0,0.0
33,Phone_DSL,0.0,0.0,1.0,0.0,0.0
1,Phone_DSL,0.0,0.0,1.0,1.0,0.0
35,Phone_Fiber,0.0,0.0,1.0,1.0,0.0
17,NoPhone_DSL,1.0,0.0,1.0,0.0,0.0
25,Phone_DSL,0.0,0.0,1.0,1.0,0.0
12,Phone_DSL,0.0,0.0,1.0,0.0,0.0
46,Phone_Fiber,0.0,0.0,1.0,0.0,0.0
41,Phone_Fiber,0.0,0.0,1.0,1.0,0.0
65,Phone_DSL,0.0,0.0,1.0,1.0,0.0
52,PhoneOnly,0.0,0.0,1.0,0.0,0.0
10,Phone_DSL,0.0,0.0,1.0,1.0,0.0
52,Phone_Fiber,1.0,0.0,1.0,0.0,0.0
34,Phone_Fiber,0.0,0.0,1.0,1.0,0.0
58,Phone_Fiber,0.0,0.0,1.0,1.0,0.0
63,Phone_Fiber,1.0,0.0,1.0,0.0,0.0
1,Phone_Fiber,0.0,0.0,1.0,1.0,0.0
71,Phone_DSL,0.0,0.0,1.0,0.0,0.0
52,Phone_DSL,0.0,0.0,1.0,0.0,0.0
67,PhoneOnly,1.0,0.0,1.0,0.0,0.0
1,Phone_DSL,0.0,0.0,1.0,1.0,0.0
39,Phone_DSL,1.0,0.0,1.0,0.0,0.0
61,Phone_Fiber,0.0,0.0,1.0,0.0,0.0
70,Phone_DSL,0.0,0.0,1.0,1.0,0.0
48,Phone_Fiber,0.0,0.0,1.0,0.0,0.0
36,Phone_DSL,0.0,0.0,1.0,0.0,0.0
51,Phone_DSL,0.0,0.0,1.0,1.0,0.0
7,Phone_Fiber,1.0,0.0,1.0,0.0,0.0
35,Phone_Fiber,0.0,0.0,1.0,0.0,0.0
4,Phone_DSL,0.0,0.0,1.0,1.0,0.0
9,Phone_Fiber,0.0,0.0,1.0,1.0,0.0
18,Phone_DSL,0.0,0.0,1.0,1.0,0.0
42,Phone_Fiber,1.0,0.0,1.0,0.0,0.0
3,Phone_Fiber,1.0,0.0,1.0,1.0,0.0
33,Phone_Fiber,1.0,0.0,1.0,1.0,0.0
17,PhoneOnly,0.0,0.0,1.0,1.0,0.0
72,Phone_Fiber,0.0,0.0,1.0,0.0,0.0
54,Phone_Fiber,0.0,0.0,1.0,0.0,0.0
72,Phone_Fiber,0.0,0.0,1.0,0.0,0.0
70,NoPhone_DSL,1.0,0.0,1.0,0.0,0.0
46,Phone_DSL,1.0,0.0,1.0,0.0,0.0
58,Phone_Fiber,1.0,0.0,1.0,1.0,0.0
34,Phone_DSL,0.0,0.0,1.0,0.0,0.0
11,Phone_Fiber,0.0,0.0,1.0,1.0,0.0
14,Phone_DSL,0.0,0.0,1.0,0.0,0.0
44,PhoneOnly,1.0,0.0,1.0,1.0,0.0
26,Phone_Fiber,1.0,0.0,1.0,0.0,0.0
1,Phone_DSL,1.0,0.0,1.0,1.0,0.0
69,PhoneOnly,1.0,0.0,1.0,0.0,0.0
19,Phone_Fiber,0.0,0.0,1.0,1.0,0.0
57,PhoneOnly,1.0,0.0,1.0,1.0,0.0
1,Phone_DSL,0.0,0.0,1.0,1.0,0.0
1,Phone_Fiber,1.0,0.0,1.0,1.0,0.0
1,Phone_DSL,0.0,0.0,1.0,1.0,0.0
25,Phone_DSL,1.0,0.0,1.0,1.0,0.0
39,Phone_DSL,0.0,0.0,1.0,1.0,0.0
3,PhoneOnly,0.0,0.0,1.0,1.0,0.0
5,Phone_Fiber,0.0,0.0,1.0,1.0,0.0
1,NoPhone_DSL,0.0,0.0,1.0,1.0,0.0
48,Phone_Fiber,0.0,0.0,1.0,1.0,0.0
1,Phone_Fiber,1.0,0.0,1.0,1.0,0.0
4,PhoneOnly,1.0,0.0,1.0,1.0,0.0
17,Phone_Fiber,1.0,0.0,1.0,1.0,0.0
64,Phone_DSL,0.0,0.0,1.0,0.0,0.0
18,PhoneOnly,0.0,0.0,1.0,1.0,0.0
58,PhoneOnly,1.0,0.0,1.0,0.0,0.0
18,NoPhone_DSL,0.0,0.0,1.0,0.0,0.0
41,Phone_Fiber,1.0,0.0,1.0,1.0,0.0
13,Phone_Fiber,0.0,0.0,1.0,1.0,0.0
70,Phone_DSL,0.0,0.0,1.0,0.0,0.0
71,Phone_Fiber,0.0,0.0,1.0,1.0,0.0
68,Phone_Fiber,1.0,0.0,1.0,0.0,0.0
5,Phone_Fiber,1.0,0.0,1.0,1.0,0.0
1,Phone_DSL,1.0,0.0,1.0,1.0,0.0
1,PhoneOnly,0.0,0.0,1.0,1.0,0.0
